Date,SPY,30Y_Treasury,Gold
1997-01-01,0.0199014245903369,0.0008520709648644,0.0244306561430207
1997-02-01,0.0506908956922407,-0.0020246012417,-0.0020241087084754
1997-03-01,0.0523763844652217,0.0280230418745872,-0.0090842315780485
1997-04-01,0.0212768013075789,-0.0089025307843738,-0.0089718926071077
1997-05-01,0.012258868146981,-0.0523984073397339,-0.0467475349753909
1997-06-01,-0.0118686258772291,-0.0253849336100327,0.0144274199778582
1997-07-01,-0.0222407222656363,-0.0373691110400587,0.0489694630676466
1997-08-01,-0.001773289014596,0.0070258461406377,-0.0377424455864037
1997-09-01,-0.0113314817357554,0.0083276776912959,-0.029529807322669
1997-10-01,0.0162709405503701,-0.0130191606975641,-0.0037508124937983
1997-11-01,-0.0130511983668819,0.0605683455352681,0.0045950832578619
1997-12-01,-0.026731327868677,0.0296763473630956,-0.0316253094991306
1998-01-01,0.0112659078501426,-0.0537901037163932,-0.0348455814669529
1998-02-01,0.0109058370760737,0.0271539973998623,0.0101410484356991
1998-03-01,0.0015305515283527,-0.0040331108676786,-0.0393556597110228
1998-04-01,-0.0165953262518412,-0.0088191631287936,0.0367136667865674
1998-05-01,0.0153085486870538,-0.047891204660882,0.0147225190818438
1998-06-01,-0.0065524684124894,-0.0153076600091787,0.023350288665226
1998-07-01,0.0359299856748785,0.0329384035734859,-0.0201765256966791
1998-08-01,-0.0042763712755364,0.0149379029421069,0.0342663538136707
1998-09-01,-0.0093752271353586,-0.0005697692999145,-0.0281900492201808
1998-10-01,-0.0308861987224201,0.0293757746718259,0.0456872008571246
1998-11-01,0.0028396963525899,0.0351059869367607,0.015849080751429
1998-12-01,-0.0143535926381537,0.0158418681652524,0.051141096993979
1999-01-01,0.0039252188267014,0.0519393096744201,-0.0735923531226923
1999-02-01,0.0296570751312567,0.0076114120471451,-0.003970220513976
1999-03-01,0.007752823296065,-0.0546270674380267,-0.0015901566351253
1999-04-01,0.0157133771453523,0.0493368213422454,-0.0105481065482094
